"Overshooting (0:Without,1:With)",Initial Mass,Initial Metallicity,Initial He Abundance,Age,Log L,Log Teff,Log g,Log Tc,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,0.6,4.00E-04,0.23,40600000000.0,2.366,3.677,1.507,7.723,5.673,1.0,1.82e-06,1.7e-05,0.0,0.5789,2.364,0.5762,0.5794,0.0,0.0,0.0,0.0,-1.634,0.1097,
1,0.6,4.00E-04,0.23,40600000000.0,2.431,3.674,1.429,7.732,5.695,1.0,1.82e-06,1.7e-05,0.0,0.5908,2.428,0.5879,0.5912,0.0,0.0,0.0,0.0,-1.569,0.1459,
1,0.6,4.00E-04,0.23,40600000000.0,2.494,3.671,1.353,7.742,5.717,1.0,1.82e-06,1.7e-05,0.0,0.603,2.492,0.6003,0.6034,0.0,0.0,0.0,0.0,-1.506,0.1846,
1,0.6,4.00E-04,0.23,40600000000.0,2.555,3.668,1.278,7.752,5.741,1.0,1.82e-06,1.7e-05,0.0,0.6162,2.553,0.6137,0.6165,0.0,0.0,0.0,0.0,-1.144,0.2113,
1,0.6,4.00E-04,0.23,40600000000.0,2.616,3.665,1.207,7.762,5.764,1.0,1.82e-06,1.7e-05,0.0,0.6293,2.614,0.627,0.6297,0.0,0.0,0.0,0.0,-1.083,0.237,
1,0.6,4.00E-04,0.23,40600000000.0,2.677,3.662,1.135,7.773,5.789,1.0,1.82e-06,1.7e-05,0.0,0.6436,2.674,0.6418,0.644,0.0,0.0,0.0,0.0,-1.022,0.2706,
1,0.6,4.00E-04,0.23,40600000000.0,2.737,3.658,1.059,7.785,5.813,1.0,1.82e-06,1.7e-05,0.0,0.6583,2.734,0.6564,0.6586,0.0,0.0,0.0,0.0,-0.962,0.2946,
1,0.6,4.00E-04,0.23,40600000000.0,2.797,3.655,0.987,7.794,5.835,1.0,1.82e-06,1.7e-05,0.0,0.6715,2.794,0.6699,0.6718,0.0,0.0,0.0,0.0,-0.902,0.3177,
1,0.6,4.00E-04,0.23,40600000000.0,2.858,3.652,0.913,7.805,5.858,1.0,1.82e-06,1.7e-05,0.0,0.6858,2.855,0.684,0.6861,0.0,0.0,0.0,0.0,-0.841,0.3345,
1,0.6,4.00E-04,0.23,40600000000.0,2.918,3.649,0.842,7.816,5.884,1.0,1.82e-06,1.7e-05,0.0,0.7017,2.914,0.7004,0.702,0.0,0.0,0.0,0.0,-0.605,0.3575,
1,0.6,4.00E-04,0.23,40600000000.0,2.98,3.646,0.768,7.827,5.91,1.0,1.82e-06,1.7e-05,0.0,0.7185,2.976,0.7169,0.7187,0.0,0.0,0.0,0.0,-0.543,0.3793,
1,0.6,4.00E-04,0.23,40600000000.0,3.04,3.643,0.695,7.84,5.939,1.0,1.82e-06,1.7e-05,0.0,0.7374,3.037,0.7359,0.7377,0.0,0.0,0.0,0.0,-0.483,0.4042,
1,0.6,4.00E-04,0.23,40600000000.0,3.106,3.639,0.612,7.851,5.966,1.0,1.82e-06,1.7e-05,0.0,0.7552,3.103,0.7539,0.7554,0.0,0.0,0.0,0.0,-0.417,0.4317,
1,0.6,4.00E-04,0.23,40600000000.0,3.166,3.637,0.546,7.862,5.994,1.0,1.82e-06,1.7e-05,0.0,0.7741,3.162,0.7728,0.7743,0.0,0.0,0.0,0.0,-0.232,0.451,
1,0.6,4.00E-04,0.23,40600000000.0,3.227,3.634,0.471,7.874,6.024,1.0,1.82e-06,1.7e-05,0.0,0.7947,3.223,0.7935,0.7949,-0.296,0.0,0.5502,0.0,-0.171,0.4562,
1,0.6,4.00E-04,0.23,40600000000.0,3.261,3.632,0.431,7.878,6.038,1.0,1.82e-06,1.7e-05,0.0,0.8075,3.257,0.8064,0.8077,1.039,0.0,0.6007,0.0,-0.04,0.3428,Cb
1,0.7,4.00E-04,0.23,0.0,-0.546,3.744,4.754,7.056,1.958,0.768,6.33e-05,0.000192,0.0849,0.163,-0.54,0.0,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.7,4.00E-04,0.23,1710000000.0,-0.505,3.748,4.726,7.058,1.996,0.699,5.31e-07,0.000192,0.0,0.5724,-0.505,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,4030000000.0,-0.465,3.753,4.706,7.073,2.061,0.598,2.27e-07,0.000192,0.0,0.645,-0.465,0.0,0.2729,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,6330000000.0,-0.422,3.758,4.683,7.091,2.135,0.497,2.49e-07,0.000192,0.0,0.6783,-0.421,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,8630000000.0,-0.373,3.764,4.657,7.112,2.22,0.398,2.75e-07,0.000192,0.0,0.7009,-0.372,0.0,0.3018,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,10900000000.0,-0.317,3.769,4.623,7.136,2.318,0.299,3.09e-07,0.000191,0.0,0.7168,-0.317,0.0,0.3295,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,13300000000.0,-0.251,3.775,4.581,7.168,2.443,0.198,3.58e-07,0.000188,0.0,0.7318,-0.249,0.0,0.3562,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,16000000000.0,-0.153,3.783,4.514,7.208,2.629,0.099,4.41e-07,0.000171,0.0,0.7461,-0.152,0.0,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,18100000000.0,-0.051,3.789,4.432,7.246,2.828,0.049,5.27e-07,0.000114,0.0,0.7547,-0.046,0.0,0.4051,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,20200000000.0,0.098,3.795,4.311,7.322,3.093,0.01,1.73e-06,1.64e-05,0.0,0.7626,0.1,0.0,0.4378,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,20700000000.0,0.148,3.796,4.265,7.334,3.2,0.001,1.84e-06,1.47e-05,0.0,0.7626,0.148,0.0,0.4441,0.0,0.0,0.0,0.0,0.0,0.0,Te-M
1,0.7,4.00E-04,0.23,20700000000.0,0.15,3.796,4.263,7.334,3.205,0.001,1.84e-06,1.47e-05,0.0,0.7626,0.15,0.0,0.4441,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,21000000000.0,0.176,3.795,4.235,7.336,3.273,0.0,1.87e-06,1.46e-05,0.0,0.7664,0.177,0.0,0.4441,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.7,4.00E-04,0.23,21400000000.0,0.234,3.794,4.172,7.344,3.432,0.0,1.94e-06,1.46e-05,0.0,0.7664,0.234,0.0,0.4441,0.0,0.0,0.0,0.0,0.0,0.0,Xc=0
1,0.7,4.00E-04,0.23,21800000000.0,0.294,3.789,4.09,7.355,3.626,1.0,1.94e-06,1.46e-05,0.0,0.7664,0.295,0.0161,0.4314,0.0,0.0,0.0,0.0,0.0,0.0,
